detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
IF -> Z-score (50/50),combined,negative_price,0.0684520279209818,0.48682673588578845,0.12002719891204355,0.92544473330607,0.07455526669393,0.5131732641142116,0.6712162384493451,7502,102093,7908,1267267,15410,1369360,109595
IF -> Z-score (50/50),combined,price_drop,0.05742050276016242,0.4081592943313011,0.10067752953692816,0.9245613983840532,0.07543860161594682,0.591840705668699,0.6143031238162444,6293,103302,9125,1266050,15418,1369352,109595
IF -> Z-score (50/50),combined,price_noise,0.02402481865048588,0.17120749073411795,0.04213676444700498,0.9218908259218879,0.07810917407811209,0.828792509265882,0.39728404830409436,2633,106962,12746,1262429,15379,1369391,109595
IF -> Z-score (50/50),combined,price_spike,0.07754003376066426,0.5535795713634291,0.13602676356185872,0.9261752611874087,0.07382473881259133,0.4464204286365709,0.7160388984514303,8498,101097,6853,1268322,15351,1369419,109595
IF -> Z-score (50/50),combined,zero_price,0.06573292577216114,0.472022015463242,0.11539601303891653,0.9252351939528648,0.07476480604713517,0.5279779845367579,0.6608565510208361,7204,102391,8058,1267117,15262,1369508,109595
Sanity,combined,currency_swap,0.2492584007391678,1.0,0.39905018944308923,0.9661791757369871,0.03382082426301288,0.0,0.9829441366308601,15377,46314,0,1323079,15377,1369393,61691
Sanity,combined,decimal_shift,0.0,0.0,0.0,0.9549456713051887,0.04505432869481135,1.0,0.0,0,61691,15512,1307567,15512,1369258,61691
Sanity,combined,extreme_outlier,0.004149713896678608,0.01664391131916,0.006643138883122276,0.9551369260305144,0.04486307396948566,0.98335608868084,0.12608415560452854,256,61435,15125,1307954,15381,1369389,61691
Sanity,combined,list_price_violation,0.2494042891183479,1.0,0.39923712650985377,0.9661855257546459,0.033814474245354116,0.0,0.9829473667265435,15386,46305,0,1323079,15386,1369384,61691
Sanity,combined,negative_price,0.2497933247961615,1.0,0.39973541199206236,0.9662024595431442,0.033797540456855756,0.0,0.9829559804707148,15410,46281,0,1323079,15410,1369360,61691
Sanity,combined,price_drop,0.0,0.0,0.0,0.954948764086955,0.045051235913045,1.0,0.0,0,61691,15418,1307661,15418,1369352,61691
Sanity,combined,price_noise,0.0,0.0,0.0,0.9549500471377422,0.04504995286225775,1.0,0.0,0,61691,15379,1307700,15379,1369391,61691
Sanity,combined,price_spike,0.0,0.0,0.0,0.9549509682573413,0.04504903174265875,1.0,0.0,0,61691,15351,1307728,15351,1369419,61691
Sanity,combined,zero_price,0.24739427144964418,1.0,0.3966577001546398,0.9660980439690751,0.033901956030924975,0.0,0.9829028659888397,15262,46429,0,1323079,15262,1369508,61691
Sanity -> IF,combined,currency_swap,0.07405356205483345,1.0,0.13789547313293637,0.8595947255462821,0.1404052744537178,0.0,0.9271433144591413,15377,192270,0,1177123,15377,1369393,207647
Sanity -> IF,combined,decimal_shift,0.055396899545863895,0.7415549252191852,0.10309241392908196,0.8567516129173611,0.14324838708263893,0.25844507478081485,0.7970748887327652,11503,196144,4009,1173114,15512,1369258,207647
Sanity -> IF,combined,extreme_outlier,0.06173939426045163,0.8334958715298095,0.11496314364115716,0.8577270592943276,0.1422729407056724,0.1665041284701905,0.8455246671867274,12820,194827,2561,1174562,15381,1369389,207647
Sanity -> IF,combined,list_price_violation,0.07409690484331583,1.0,0.13797061421404008,0.8596003750591507,0.14039962494084932,0.0,0.9271463611853042,15386,192261,0,1177123,15386,1369384,207647
Sanity -> IF,combined,negative_price,0.07421248561260216,1.0,0.13817096078580812,0.8596154407898581,0.14038455921014195,0.0,0.9271544859352502,15410,192237,0,1177123,15410,1369360,207647
Sanity -> IF,combined,price_drop,0.03926856636503297,0.5288623686600078,0.07310873512204963,0.8543157639525849,0.14568423604741512,0.4711376313399922,0.672172194089839,8154,199493,7264,1169859,15418,1369352,207647
Sanity -> IF,combined,price_noise,0.01032521538957943,0.13941088497301515,0.0192264579017693,0.8499311007593887,0.15006889924061134,0.8605891150269849,0.344223251572225,2144,205503,13235,1163888,15379,1369391,207647
