detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
Sanity -> IF,new_prices,list_price_violation,0.08059027550552975,1.0,0.14915972747918246,0.8718187333780387,0.12818126662196128,0.0,0.9337123397374797,4926,56198,0,382228,4926,438426,61124
Sanity -> IF,new_prices,negative_price,0.08191545055951836,1.0,0.1514267136441306,0.8719798332363777,0.12802016676362227,0.0,0.9337986042163362,5007,56117,0,382228,5007,438345,61124
Sanity -> IF,new_prices,price_drop,0.056213598586479945,0.7033776867963153,0.10410701570997895,0.8684325160160286,0.13156748398397142,0.29662231320368476,0.7815600132133541,3436,57688,1449,380779,4885,438467,61124
Sanity -> IF,new_prices,price_noise,0.011844774556638963,0.14915533580552123,0.021946709509230347,0.8622570684472906,0.13774293155270947,0.8508446641944788,0.35862270228603754,724,60400,4130,378098,4854,438498,61124
Sanity -> IF,new_prices,price_spike,0.0790687782213206,0.9757722592368262,0.14628388092679753,0.8715987034641959,0.12840129653580415,0.024227740763173834,0.9222157209824321,4833,56291,120,382108,4953,438399,61124
Sanity -> IF,new_prices,zero_price,0.08068843662064001,1.0,0.14932784304226718,0.871830664659459,0.12816933534054104,0.0,0.9337187288790233,4932,56192,0,382228,4932,438420,61124
Sanity -> Z-score,new_prices,currency_swap,0.0811066642310311,1.0,0.1500437781293682,0.8738037895581889,0.12619621044181104,0.0,0.9347747266364175,4884,55333,0,383135,4884,438468,60217
Sanity -> Z-score,new_prices,decimal_shift,0.054768586943886276,0.6680170143812032,0.10123706909782976,0.8701709567418998,0.1298290432581002,0.33198298561879686,0.7624231138442479,3298,56919,1639,381496,4937,438415,60217
Sanity -> Z-score,new_prices,extreme_outlier,0.056711559858511715,0.6889247528747227,0.10479639119894435,0.8704319164224045,0.12956808357759556,0.3110752471252774,0.7743785204378905,3415,56802,1542,381593,4957,438395,60217
Sanity -> Z-score,new_prices,list_price_violation,0.08180414168756331,1.0,0.15123651044624903,0.8738874975480468,0.12611250245195313,0.0,0.9348194999827757,4926,55291,0,383135,4926,438426,60217
Sanity -> Z-score,new_prices,negative_price,0.08314927678230401,1.0,0.15353244204587269,0.8740489796849513,0.12595102031504865,0.0,0.9349058667507394,5007,55210,0,383135,5007,438345,60217
Sanity -> Z-score,new_prices,price_drop,0.05026819668864274,0.6196519959058342,0.09299253479155786,0.8695682913423359,0.1304317086576641,0.3803480040941658,0.7340502212428687,3027,57190,1858,381277,4885,438467,60217
Sanity -> Z-score,new_prices,price_noise,0.02741750668415896,0.3401318500206016,0.050744571314410424,0.8664395276603314,0.13356047233966858,0.6598681499793985,0.5428661708691054,1651,58566,3203,379932,4854,438498,60217
Sanity -> Z-score,new_prices,price_spike,0.05571516349203713,0.6773672521704017,0.10296148534601811,0.8702962369895917,0.1297037630104083,0.3226327478295982,0.767795656814937,3355,56862,1598,381537,4953,438399,60217
Sanity -> Z-score,new_prices,zero_price,0.08190378132421076,1.0,0.1514067752382999,0.8738994571415538,0.12610054285844624,0.0,0.9348258967003181,4932,55285,0,383135,4932,438420,60217
Sanity -> Z-score (>=10) -> IF,new_prices,currency_swap,0.06287899270016609,1.0,0.11831825284348997,0.8339924464271052,0.1660075535728947,0.0,0.9132318689287542,4884,72789,0,365679,4884,438468,77673
Sanity -> Z-score (>=10) -> IF,new_prices,decimal_shift,0.0635613404915479,1.0,0.119525481176613,0.8340932677942132,0.16590673220578675,0.0,0.9132870675719728,4937,72736,0,365679,4937,438415,77673
Sanity -> Z-score (>=10) -> IF,new_prices,extreme_outlier,0.0638188302241448,1.0,0.11998063657267334,0.8341313199283751,0.1658686800716249,0.0,0.9133078998499767,4957,72716,0,365679,4957,438395,77673
Sanity -> Z-score (>=10) -> IF,new_prices,list_price_violation,0.0634197211386196,1.0,0.11927505175607453,0.8340723406002382,0.16592765939976187,0.0,0.9132756104266873,4926,72747,0,365679,4926,438426,77673
Sanity -> Z-score (>=10) -> IF,new_prices,negative_price,0.0644625545556371,1.0,0.12111756168359941,0.8342264654552921,0.16577353454470795,0.0,0.9133599867824801,5007,72666,0,365679,5007,438345,77673
Sanity -> Z-score (>=10) -> IF,new_prices,price_drop,0.04548556126324463,0.7232343909928353,0.0855883136703893,0.8309108781276584,0.1690891218723416,0.2767656090071648,0.7752053424170778,3533,74140,1352,364327,4885,438467,77673
Sanity -> Z-score (>=10) -> IF,new_prices,price_noise,0.022195614949853875,0.35517099299546767,0.041780265852387706,0.826797385620915,0.17320261437908496,0.6448290070045324,0.541898928267105,1724,75949,3130,362549,4854,438498,77673
Sanity -> Z-score (>=10) -> IF,new_prices,price_spike,0.06229964080182303,0.9769836462749849,0.11713020114733863,0.8338636721342886,0.16613632786571136,0.02301635372501514,0.9025913642939455,4839,72834,114,365565,4953,438399,77673
Sanity -> Z-score (>=10) -> IF,new_prices,zero_price,0.06349696805839868,1.0,0.11941165788995824,0.834083755303134,0.16591624469686603,0.0,0.9132818597252077,4932,72741,0,365679,4932,438420,77673
Sanity -> Z-score (>=5) -> IF,new_prices,currency_swap,0.060792392237891936,1.0,0.11461694612956597,0.8279121851537626,0.17208781484623736,0.0,0.9098967991776664,4884,75455,0,363013,4884,438468,80339
