run_id,candidate_id,dataset_split,detector_name,anomaly_type,injected_count,detected_count,detection_rate
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> IF,currency_swap,10493,10493,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> IF,decimal_shift,10575,6566,0.6208983451536643
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> IF,extreme_outlier,10424,7863,0.7543169608595549
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> IF,list_price_violation,10460,10460,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> IF,negative_price,10403,10403,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> IF,price_drop,10533,4718,0.4479255672647869
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> IF,price_noise,10525,1420,0.134916864608076
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> IF,price_spike,10398,5594,0.5379880746297365
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> IF,zero_price,10330,10330,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score,currency_swap,10493,10493,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score,decimal_shift,10575,4429,0.41881796690307327
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score,extreme_outlier,10424,4681,0.4490598618572525
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score,list_price_violation,10460,10460,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score,negative_price,10403,10403,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score,price_drop,10533,3480,0.33039020222158927
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score,price_noise,10525,1757,0.16693586698337293
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score,price_spike,10398,4606,0.44296980188497787
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score,zero_price,10330,10330,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=10) -> IF,currency_swap,10493,10493,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=10) -> IF,decimal_shift,10575,6566,0.6208983451536643
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=10) -> IF,extreme_outlier,10424,7863,0.7543169608595549
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=10) -> IF,list_price_violation,10460,10460,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=10) -> IF,negative_price,10403,10403,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=10) -> IF,price_drop,10533,4797,0.45542580461407006
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=10) -> IF,price_noise,10525,1730,0.1643705463182898
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=10) -> IF,price_spike,10398,5599,0.5384689363339104
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=10) -> IF,zero_price,10330,10330,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=5) -> IF,currency_swap,10493,10493,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=5) -> IF,decimal_shift,10575,6566,0.6208983451536643
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=5) -> IF,extreme_outlier,10424,7863,0.7543169608595549
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=5) -> IF,list_price_violation,10460,10460,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=5) -> IF,negative_price,10403,10403,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=5) -> IF,price_drop,10533,4837,0.4592233931453527
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=5) -> IF,price_noise,10525,2094,0.19895486935866982
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=5) -> IF,price_spike,10398,5600,0.5385651086747452
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score (>=5) -> IF,zero_price,10330,10330,1.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score -> IF (50/50),currency_swap,10493,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score -> IF (50/50),decimal_shift,10575,4892,0.4626004728132388
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score -> IF (50/50),extreme_outlier,10424,5054,0.4848426707597851
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score -> IF (50/50),list_price_violation,10460,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score -> IF (50/50),negative_price,10403,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score -> IF (50/50),price_drop,10533,2520,0.23924807747080604
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score -> IF (50/50),price_noise,10525,911,0.08655581947743468
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score -> IF (50/50),price_spike,10398,4688,0.4508559338334295
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Sanity -> Z-score -> IF (50/50),zero_price,10330,0,0.0
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Z-score,currency_swap,10493,5631,0.5366434766034499
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Z-score,decimal_shift,10575,4830,0.45673758865248226
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Z-score,extreme_outlier,10424,5010,0.4806216423637759
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Z-score,list_price_violation,10460,1368,0.13078393881453154
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Z-score,negative_price,10403,3832,0.3683552821301548
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Z-score,price_drop,10533,3327,0.3158644260894332
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Z-score,price_noise,10525,1510,0.14346793349168646
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Z-score,price_spike,10398,4920,0.47316791690709753
initial_country1_if_zscore_layered_combinations,country1_if_zscore_layered_combinations,new_products,Z-score,zero_price,10330,3596,0.3481122942884802
