scope_id,mh_level,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
COMPETITOR_2_COUNTRY_4,mh15,COMPETITOR_2_COUNTRY_4,competitor,competitor,B2C,Sanity -> IF,combined,0.5468911404646256,0.8404431384469889,0.712915472264369,0.9226341031395184,0.0773658968604817,0.1595568615530111,0.8971895478654979,24883.0,20616.0,4724.0,245858.0,29607.0,266474.0,45499.0
COMPETITOR_2_COUNTRY_4,mh20,COMPETITOR_2_COUNTRY_4,competitor,competitor,B2C,Sanity -> IF,combined,0.4948089385959208,0.8479682044424635,0.6834206271839118,0.9038059941725616,0.0961940058274384,0.1520317955575366,0.8946409803430657,22829.0,23308.0,4093.0,218994.0,26922.0,242302.0,46137.0
COMPETITOR_2_COUNTRY_4,mh25,COMPETITOR_2_COUNTRY_4,competitor,competitor,B2C,Sanity -> IF,combined,0.4997587687557292,0.850870708066371,0.6912202843920086,0.905371427528395,0.094628572471605,0.149129291933629,0.8962549445240791,20717.0,20737.0,3631.0,198404.0,24348.0,219141.0,41454.0
COMPETITOR_2_COUNTRY_4,mh30,COMPETITOR_2_COUNTRY_4,competitor,competitor,B2C,Sanity -> IF,combined,0.5214511236302855,0.846532663316583,0.7042547642847038,0.9136852918844076,0.0863147081155924,0.153467336683417,0.8964100918913236,16846.0,15460.0,3054.0,163652.0,19900.0,179112.0,32306.0
COMPETITOR_2_COUNTRY_4,mh5,COMPETITOR_2_COUNTRY_4,competitor,competitor,B2C,Sanity -> Z-score,combined,0.4179989721222896,0.8047547734930738,0.6203535525061452,0.8755047406249722,0.1244952593750278,0.1952452265069262,0.8731157761323751,30093.0,41900.0,7301.0,294659.0,37394.0,336559.0,71993.0
COMPETITOR_3_COUNTRY_1,mh10,COMPETITOR_3_COUNTRY_1,competitor,competitor,B2C,Sanity -> IF,combined,0.4844695137654441,0.8204689062400272,0.7021257687468514,0.9029929248683902,0.0970070751316097,0.1795310937599727,0.901625167747706,77129.0,82074.0,16877.0,763988.0,94006.0,846062.0,159203.0
COMPETITOR_3_COUNTRY_1,mh15,COMPETITOR_3_COUNTRY_1,competitor,competitor,B2C,Sanity -> IF,combined,0.5012672100828824,0.824679532328497,0.7353375530423767,0.908832229891534,0.0911677701084659,0.175320467671503,0.9075372861120408,58544.0,58248.0,12446.0,580662.0,70990.0,638910.0,116792.0
COMPETITOR_3_COUNTRY_1,mh20,COMPETITOR_3_COUNTRY_1,competitor,competitor,B2C,Sanity -> Z-score,combined,0.6951950187969925,0.6613948809656868,0.6929882634198906,0.9677805926036313,0.0322194073963688,0.3386051190343132,0.8358381220770277,11835.0,5189.0,6059.0,155863.0,17894.0,161052.0,17024.0
COMPETITOR_3_COUNTRY_1,mh25,COMPETITOR_3_COUNTRY_1,competitor,competitor,B2C,Sanity -> Z-score,combined,0.5634920634920635,0.7634408602150538,0.701344537815126,0.9349881796690308,0.0650118203309692,0.2365591397849462,0.8685616737525337,71.0,55.0,22.0,791.0,93.0,846.0,126.0
COMPETITOR_3_COUNTRY_1,mh30,COMPETITOR_3_COUNTRY_1,competitor,competitor,B2C,Sanity -> IF,combined,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,36.0,4.0,36.0,4.0
COMPETITOR_3_COUNTRY_1,mh5,COMPETITOR_3_COUNTRY_1,competitor,competitor,B2C,Sanity -> IF,combined,0.5969327897770913,0.7349169732111313,0.7542792938035676,0.944862852768634,0.0551371472313658,0.2650830267888688,0.8793309730964524,70724.0,47755.0,25510.0,818358.0,96234.0,866113.0,118479.0
COMPETITOR_3_COUNTRY_2,mh10,COMPETITOR_3_COUNTRY_2,competitor,competitor,B2C,Sanity -> Z-score,combined,0.5527778962786002,0.7935694600387874,0.7899628221967822,0.9286653964797678,0.0713346035202322,0.2064305399612126,0.9146712841649562,38873.0,31450.0,10112.0,409430.0,48985.0,440880.0,70323.0
COMPETITOR_3_COUNTRY_2,mh15,COMPETITOR_3_COUNTRY_2,competitor,competitor,B2C,Sanity -> Z-score,combined,0.488231019557044,0.8203971119133574,0.794591605468922,0.9044540526511377,0.0955459473488624,0.1796028880866426,0.9216578915231464,15453.0,16198.0,3383.0,153333.0,18836.0,169531.0,31651.0
COMPETITOR_3_COUNTRY_2,mh20,COMPETITOR_3_COUNTRY_2,competitor,competitor,B2C,Sanity -> Z-score,combined,0.4545843128873691,0.8279486181393538,0.7854375074954613,0.8896480152209634,0.1103519847790365,0.1720513818606461,0.9215030081930626,2127.0,2552.0,442.0,20574.0,2569.0,23126.0,4679.0
COMPETITOR_3_COUNTRY_2,mh25,COMPETITOR_3_COUNTRY_2,competitor,competitor,B2C,Sanity -> Z-score,combined,0.3651551312649164,0.8181818181818182,0.7645317445540868,0.8427895981087471,0.1572104018912529,0.1818181818181818,0.9144142084784508,153.0,266.0,34.0,1426.0,187.0,1692.0,419.0
COMPETITOR_3_COUNTRY_2,mh30,COMPETITOR_3_COUNTRY_2,competitor,competitor,B2C,Sanity -> Z-score,combined,0.2593984962406015,0.8214285714285714,0.7786658072832743,0.7407894736842106,0.2592105263157894,0.1785714285714285,0.8975814559099544,69.0,197.0,15.0,563.0,84.0,760.0,266.0
COMPETITOR_3_COUNTRY_2,mh5,COMPETITOR_3_COUNTRY_2,competitor,competitor,B2C,Sanity -> Z-score,combined,0.6143010176754151,0.7610282407898927,0.771536184274459,0.9469090619544188,0.053090938045581,0.2389717592101072,0.8919010610828765,57345.0,36005.0,18007.0,642171.0,75352.0,678176.0,93350.0
COMPETITOR_3_COUNTRY_3,mh10,COMPETITOR_3_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.7293753304630259,0.8047906387518335,0.8364316165033666,0.9668219322696252,0.0331780677303749,0.1952093612481664,0.9257304660299874,48281.0,17914.0,11711.0,522021.0,59992.0,539935.0,66195.0
COMPETITOR_3_COUNTRY_3,mh15,COMPETITOR_3_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.6733629867288902,0.8068236424795772,0.8388329234613843,0.9565149860453828,0.0434850139546171,0.1931763575204228,0.9316385626317912,18469.0,8959.0,4422.0,197066.0,22891.0,206025.0,27428.0
COMPETITOR_3_COUNTRY_3,mh20,COMPETITOR_3_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.6289959477712742,0.8076700713046829,0.8309855489770985,0.947070914696814,0.052929085303186,0.192329928695317,0.9297884961237324,4191.0,2472.0,998.0,44232.0,5189.0,46704.0,6663.0
COMPETITOR_3_COUNTRY_3,mh25,COMPETITOR_3_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.525984251968504,0.8267326732673267,0.8072634790232888,0.9172849683979116,0.0827150316020884,0.1732673267326732,0.9309723861862969,668.0,602.0,140.0,6676.0,808.0,7278.0,1270.0
COMPETITOR_3_COUNTRY_3,mh30,COMPETITOR_3_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.3809523809523809,0.8,0.7673122342938119,0.8585034013605443,0.1414965986394558,0.2,0.9305790528023936,64.0,104.0,16.0,631.0,80.0,735.0,168.0
COMPETITOR_3_COUNTRY_3,mh5,COMPETITOR_3_COUNTRY_3,competitor,competitor,B2C,Sanity -> Z-score,combined,0.7424494019685702,0.7799519656174946,0.810441265915176,0.9699380755817792,0.0300619244182208,0.2200480343825053,0.90633845550228,61702.0,21404.0,17408.0,690593.0,79110.0,711997.0,83106.0
COMPETITOR_3_COUNTRY_4,mh10,COMPETITOR_3_COUNTRY_4,competitor,competitor,B2C,Sanity -> IF,combined,0.6666666666666666,1.0,0.7666666666666666,0.9375,0.0625,0.0,0.948074069840786,2.0,1.0,0.0,15.0,2.0,16.0,3.0
COMPETITOR_3_COUNTRY_4,mh5,COMPETITOR_3_COUNTRY_4,competitor,competitor,B2C,Sanity -> Z-score,combined,0.6432584269662921,0.870722433460076,0.7536954986194053,0.94661622530475,0.0533837746952501,0.1292775665399239,0.9233512941720098,229.0,127.0,34.0,2252.0,263.0,2379.0,356.0
